query_en,query_zh,has_ai_overview,all_items,cited_sources,all_references,related_searches
breast cancer,乳腺癌,True,"['\u200c乳房肿块\u200c：最常见，多为无痛、质地硬、边缘不规则的肿块，活动度差。', '\u200c皮肤改变\u200c：皮肤出现凹陷像“酒窝”，或变厚像“橘子皮”，甚至红肿溃烂。', '\u200c乳头异常\u200c：乳头回缩内陷，或有血性、浆液性溢液，尤其是单侧单孔溢液。', '\u200c腋窝肿大\u200c：同侧腋窝摸到无痛性肿大的淋巴结。\u200c\u200c\u200c', '\u200c早期患者\u200c：肿瘤未转移，手术后 5 年生存率可达 90% 以上，很多能临床治愈。', '\u200c中期患者\u200c：肿瘤较大或有少量淋巴结转移，5 年生存率约 70%-80%。', '\u200c晚期患者\u200c：已发生远处转移，治疗以控制病情为主，5 年生存率约 15%-30%。', '\u200c个体差异\u200c：具体生存时间还跟病理类型、身体状况和治疗方案有关。\u200c\u200c\u200c', '\u200c遗传因素\u200c：直系亲属有乳腺癌病史，或携带 BRCA 基因突变。', '\u200c激素暴露\u200c：月经初潮早、绝经晚、未生育或高龄生育、长期用雌激素。', '\u200c生活习惯\u200c：肥胖、高脂饮食、过量饮酒、缺乏运动及长期精神压力大。', '\u200c其他风险\u200c：胸部曾接受放射线治疗或有乳腺良性疾病史。\u200c\u200c\u200c']",[],"[{'title': '乳腺癌', 'link': 'https://www.youlai.cn/baike/disease/ucpuDdUXkJ.html', 'source': '有来医生'}, {'title': '乳腺癌能治愈吗', 'link': 'https://m.youlai.cn/pjingbian/article/94D2EDgMAOB.html', 'source': '丁波泥'}, {'title': '乳腺癌的早期症状和前兆', 'link': 'https://www.bohe.cn/article/view/mhzyc6uskrd82uc.html', 'source': '吴国君'}, {'title': '乳腺癌的原因?乳腺癌症状是什么', 'link': 'https://www.bohe.cn/article/view/hlb6vkqnik7fsmk.html', 'source': '博禾医生'}, {'title': '乳腺癌能活多长时间', 'link': 'https://health.baidu.com/m/detail/ar_12498394051466739747', 'source': '梅广源'}, {'title': '乳腺癌能活多久', 'link': 'https://m.youlai.cn/yyk/articlemip/368469.html', 'source': '有来医生'}, {'title': '乳腺癌的治愈率是多少', 'link': 'https://m.youlai.cn/wpjingbian/article/6fc0c0mtmzf.html', 'source': '丁波泥'}, {'title': '乳腺癌的生存期是多久', 'link': 'https://www.bohe.cn/article/view/1vh6vf7amk6gbh8.html', 'source': '博禾医生'}]","['乳腺瘤一般能活几年', '乳腺瘤是什么引起的', '全乳切除多久能自理', '人乳头瘤早期图片', '乳腺4a最好的治疗方案', '感染hpv的乳头样子', '夫妻一方感染人乳头瘤怎么办', '乳腺结节1—5类对照表', '乳腺浸润性三阴最坏的结果', '女性乳腺自查方法']"
what is cancer,癌症是什么,True,"['\u200c基因突变\u200c：细胞DNA损伤累积，导致原癌基因激活和抑癌基因失活', '\u200c信号紊乱\u200c：细胞接收错误的生长分裂指令，逃避正常的凋亡程序', '\u200c免疫逃逸\u200c：异常细胞逃避免疫系统的监视和清除，持续存活增殖', '\u200c异常增殖\u200c：细胞分裂速度失控，形成占位性病变', '\u200c局部浸润\u200c：肿瘤组织向周边正常组织呈浸润性生长，破坏组织结构', '\u200c远处转移\u200c：癌细胞脱离原发灶，通过血管或淋巴管在远处器官形成继发肿瘤', '\u200c癌\u200c：起源于上皮组织，占恶性肿瘤多数，如胃腺癌、肺鳞癌', '\u200c肉瘤\u200c：起源于间叶组织，如脂肪肉瘤、骨肉瘤', '\u200c血液系统肿瘤\u200c：如白血病、淋巴瘤，表现为造血细胞恶性克隆增殖']",[],[],"['靶向针多少钱一针', '肿瘤的样子图片', '肿瘤切开了里面是什么', '肿瘤一般能活多久', '什么是肿瘤', '肿瘤破裂意味着什么', '癌症长什么样子图片', '结节是什么', '肿瘤病人最后断气阶段', '肿瘤是一坨烂肉吗']"
cancer symptoms,癌症症状,True,"['\u200c摸到无痛硬块\u200c：身体任何部位出现质地硬、边界不清、推不动的肿块，像乳房或淋巴结肿大，别以为是炎症 。', '\u200c溃疡久治不愈\u200c：皮肤或口腔黏膜溃疡长期不好，黑痣突然变大、颜色变深或破溃出血，也要当心 。\u200c\u200c\u200c', '\u200c没减肥却瘦得快\u200c：半年内体重无故下降超过 5%，还总觉得累，休息也缓不过来，可能是肿瘤消耗营养 。', '\u200c长期低热不退\u200c：尤其是下午或晚上发热，查不出感染原因，可能是肿瘤热，常伴有乏力、盗汗 。', '\u200c疼痛越来越重\u200c：疼痛持续加重，晚上更厉害，普通止痛药不管用，可能是肿瘤压迫神经或骨骼 。\u200c\u200c\u200c', '\u200c无故反复出血\u200c：咳血、便血、尿血或阴道不规则出血，不是外伤却反复出现，必须排查 。', '\u200c大便习惯变了\u200c：便秘腹泻交替，或者大便变细、有凹槽，警惕肠道问题，持续超过三周需就医 。\u200c\u200c\u200c']",[],"[{'title': '癌症的症状是怎样的', 'link': 'https://m.bohe.cn/article/mip/31nx26e5kk0bx5s.html', 'source': '博禾医生'}, {'title': '癌症的症状有哪些表现', 'link': 'https://www.bohe.cn/article/view/j3xht5544kdw0qe.html', 'source': '博禾医生'}, {'title': '癌症都有哪些症状', 'link': 'https://m.bohe.cn/article/mip/galushnx4k2wjqo.html', 'source': '博禾医生'}, {'title': '癌症症状有哪些表现', 'link': 'https://www.bohe.cn/article/view/jiefshhi0kf6srw.html', 'source': '博禾医生'}, {'title': '癌症的早期有哪些症状', 'link': 'https://www.bohe.cn/article/view/t7xytfyink6pxs4.html', 'source': '博禾医生'}, {'title': '癌症的症状是哪些', 'link': 'https://www.bohe.cn/article/view/98plvyysxkodyjf.html', 'source': '博禾医生'}, {'title': '癌症的早期症状有哪些', 'link': 'https://www.bohe.cn/article/view/ihyrurj7kt6cuti.html', 'source': '陈健鹏'}]","['靶向针多少钱一针', '肿瘤的样子图片', '身体哪种信号是肿瘤', '怎么知道自己长肿瘤了', '癌早期的5个征兆', '靶向治疗一个月多少钱', '人得癌的6个征兆', '肝晚期能不能治好', '正常人一生患癌几率', '癌症的早期信号']"
lung cancer,肺癌,True,"['\u200c老烟民和吸二手烟的人\u200c：长期吸烟是头号凶手，烟草里有几十种致癌物，直接损伤肺部细胞，吸烟量越大、年限越长，风险越高，被动吸烟也危险。', '\u200c接触有毒物质的工作者\u200c：像采矿、建筑、化工行业，长期接触石棉、砷、铬、煤焦油等，容易诱发肺癌，干活时得做好防护。', '\u200c长期吸入脏空气的人\u200c：室外汽车尾气、工业废气，室内厨房油烟、燃煤烟雾，特别是 PM2.5 携带的致癌物沉积在肺里，都会增加风险。', '\u200c有家族病史或慢性病的人\u200c：家里直系亲属得过肺癌，后代风险会增加；另外有慢性阻塞性肺病、肺结核、肺纤维化的人，发病率也比普通人高。\u200c\u200c\u200c', '\u200c早期信号\u200c：', '\u200c晚期表现\u200c：', '\u200c怎么治\u200c：', '\u200c能活多久\u200c：']","[{'title': '肺癌', 'link': 'https://baike.baidu.com/item/肺癌/428115', 'source': '百度百科'}]","[{'title': '肺癌', 'link': 'https://baike.baidu.com/item/肺癌/428115', 'source': '百度百科'}, {'title': '肺肿瘤', 'link': 'https://baike.baidu.com/item/肺肿瘤/9263603', 'source': '百度百科'}, {'title': '肺癌的病因是什么', 'link': 'https://www.bohe.cn/article/view/205305.html', 'source': '迟翔宇'}, {'title': '肺癌早期症状和前兆期症状及表现', 'link': 'https://www.bohe.cn/article/view/xw7uthr92kmrcmp.html', 'source': '陈健鹏'}, {'title': '肺癌晚期的表现', 'link': 'https://www.bohe.cn/article/view/205797.html', 'source': '李云'}, {'title': '【晋医·健康科普】了解肺癌,科学认知与防范', 'link': 'https://mp.weixin.qq.com/s?__biz=MzA3NTE3NzM3NA==&mid=2652983416&idx=2&sn=fa0ebfd6940bee6d9d5161455e185956&chksm=85475ac472a395bba0d73ca327d2d673791436da2c2c2a1949b23b636d55af7d3cda45a69594&scene=27', 'source': '晋城市人民医院'}, {'title': '得了肺癌能活多久', 'link': 'https://www.bohe.cn/article/view/blrx6e08kr0ck2f.html', 'source': '崔方博'}]","['靶向针多少钱一针', '70岁老人肺部肿瘤能活多久', '肺部肿瘤早期能活多久', '靶向药2025价格一览表', '肺癌一般能活几年', '120万一针治疗肺癌晚期吗', '肺癌一二三四期标准', '肺癌可以治愈吗', '70岁肺癌有必要治疗吗', '肺癌可以活多久']"
skin cancer,皮肤癌,True,"['\u200c痣或斑块突然变样\u200c：原有的痣若出现\u200c不对称\u200c、\u200c边缘不规则\u200c、\u200c颜色不均匀\u200c、\u200c直径超过 6 毫米\u200c或\u200c短期内迅速增大\u200c，需高度警惕，这符合黑色素瘤的 ABCDE 自测法则 。', '\u200c伤口老不好或反复出血\u200c：皮肤出现溃疡超过\u200c4 周未愈合\u200c，或反复结痂又破溃，甚至无明显外伤却\u200c反复出血\u200c，可能是皮肤癌的早期信号 。', '\u200c不同癌症长得不一样\u200c：\u200c基底细胞癌\u200c常表现为蜡样光泽的珍珠色结节；\u200c鳞状细胞癌\u200c多为红色硬结，表面易破溃呈菜花状；\u200c黑色素瘤\u200c则多为深浅不一的棕黑色斑块 。\u200c\u200c\u200c', '\u200c晒太阳多的人\u200c：长期\u200c紫外线照射\u200c是主要诱因，常在户外工作、喜爱日光浴或肤色浅易晒伤的人群风险更高 。', '\u200c接触化学物质或有慢性病\u200c：经常接触\u200c沥青、焦油、砷\u200c等化学致癌物，或皮肤有\u200c慢性溃疡、烧伤瘢痕\u200c、盘状红斑狼疮等基础病的人易患病 。', '\u200c有家族史或特定体质\u200c：直系亲属中有黑色素瘤患者、患有着色干皮病等\u200c遗传性疾病\u200c，或免疫系统功能低下者，患病概率会增加 。\u200c\u200c\u200c6百科\u200c', '\u200c治疗主要靠手术\u200c：早期皮肤癌\u200c手术切除\u200c根治率可达 95% 以上，不能手术者可用光动力、冷冻、放疗等，晚期需配合化疗或靶向药 。', '\u200c日常防晒最关键\u200c：外出时涂抹\u200c防晒霜\u200c，穿戴遮阳帽和长袖衣裤，尽量避免在\u200c上午十点到下午四点\u200c紫外线最强时长时间户外活动 。', '\u200c定期自己查皮肤\u200c：在光线充足处仔细检查全身皮肤，包括\u200c背部、头皮、脚底、指甲缝\u200c等容易忽略的部位，发现异常及时就医 。\u200c\u200c\u200c6百科\u200c']",[],"[{'title': '确诊5个月便离世!这种痣,可能要命', 'link': 'https://baijiahao.baidu.com/s?id=1865452491593866957&wfr=spider&for=pc', 'source': '最江阴'}, {'title': '皮肤癌的早期症状', 'link': 'https://www.bohe.cn/article/view/108523.html', 'source': '博禾医生'}, {'title': '皮肤癌症状有哪些症状', 'link': 'https://www.bohe.cn/article/view/9zizwpbjmkqe6hv.html', 'source': '博禾医生'}, {'title': '皮肤癌的症状与表现图片', 'link': 'https://m.youlai.cn/special/lookpicdise/d4hHfGlvwZ.html', 'source': '李捷'}, {'title': '什么是皮肤癌', 'link': 'https://www.mfk.com/article/10324628.shtml', 'source': '民福康'}, {'title': '皮肤肿瘤', 'link': 'https://baike.baidu.com/item/皮肤肿瘤/4255583', 'source': '百度百科'}, {'title': '【皮肤癌介绍】什么是皮肤癌 - 皮肤癌是怎么得的 - 皮肤癌怎么治疗 - 皮肤癌严重吗 - 皮肤癌怎么预防 - 好大夫在线', 'link': 'https://www.haodf.com/jibing/pifuai/jieshao.htm', 'source': '好大夫在线'}, {'title': '皮肤癌', 'link': 'https://baike.baidu.com/item/皮肤癌/2248862', 'source': '百度百科'}]","['白癜风怎么治疗', '如何判断是不是白癜风', '100种皮肤病照片', '扫一扫皮肤病识别', '皮肤肿瘤的图片', '怎么判断是不是牛皮癣', '皮肤上有凸起的小肉丁', '良性黑色素痣图片', '什么样的白斑不用治', '初期皮肤癌症状图片']"
colon cancer,结肠癌,False,,,,"['靶向针多少钱一针', '结肠ca一般寿命多长', '结肠癌为什么叫幸运癌', '不想做肠镜怎么查肠道', '一次化疗要住院几天', '全国结直肠十大专家', '结肠癌一般能活几年', '结肠切除术是大手术吗', '怎样判断直肠有问题', '结肠癌一二三四期标准']"
cancer treatment,癌症治疗,True,"['\u200c手术与放化疗\u200c：早期实体瘤首选手术切除，中晚期常联合放疗、化疗清除残留病灶。', '\u200c靶向与免疫治疗\u200c：靶向药像“生物导弹”精准打击突变基因，免疫治疗则激活自身免疫系统识别癌细胞。', '\u200c介入与支持治疗\u200c：通过血管直接给药抑制肿瘤，同时配合营养、心理支持提高生活质量。\u200c\u200c\u200c4\u200c', '\u200c癌症疫苗进展\u200c：针对黑色素瘤和胰腺癌的疫苗研究显示，复发风险分别降低 44% 和 50%。', '\u200cCAR-T 疗法降价\u200c：国产 CAR-T 细胞疗法上市申请获受理，价格有望从百万降至 20 余万元，部分纳入医保。', '\u200c国产创新药获批\u200c：2026 年我国已有 14 个肿瘤创新药上市，如针对乳腺癌的吡咯替尼方案显著延长生存期。\u200c\u200c1\u200c2官网\u200c\u200c6\u200c', '\u200c早筛与基因检测\u200c：胃镜等筛查能发现早期病灶，基因检测是匹配靶向药的前提。', '\u200c多学科会诊\u200c：复杂病情需外科、肿瘤科等多科室协作制定方案，避免单一治疗局限。', '\u200c定期复查\u200c：治疗后每 3-6 个月复查肿瘤标志物及影像学，警惕复发转移。\u200c\u200c4\u200c\u200c8']","[{'title': '肿瘤防治,我国有新突破', 'link': 'https://baijiahao.baidu.com/s?id=1862883843175445552&wfr=spider&for=pc', 'source': '金融界'}, {'title': '您所在的位置: 首页 - 院校报道', 'link': 'https://www.pumc.edu.cn/pub/cams/yxbd/ce3c7d9cd7cd4698b676b0d3ce9c8622.htm', 'source': '中国医学科学院北京协和医学院'}]","[{'title': '肿瘤防治,我国有新突破', 'link': 'https://baijiahao.baidu.com/s?id=1862883843175445552&wfr=spider&for=pc', 'source': '金融界'}, {'title': '您所在的位置: 首页 - 院校报道', 'link': 'https://www.pumc.edu.cn/pub/cams/yxbd/ce3c7d9cd7cd4698b676b0d3ce9c8622.htm', 'source': '中国医学科学院北京协和医学院'}, {'title': '癌症治疗的6大方法', 'link': 'http://www.sxcahosp.com/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1449&wbnewsid=10568', 'source': '陕西省肿瘤医院'}, {'title': '靶向治疗和免疫治疗的区别是什么', 'link': 'https://m.bohe.cn/article/mip/tmanz19zbkdqvus.html', 'source': '博禾医生'}, {'title': '团体心理治疗', 'link': 'https://www.zchospital.com/cn/tese/30', 'source': '浙江省肿瘤医院'}, {'title': '癌症疫苗真的来了?黑色素瘤复发风险降低44%,胰腺癌达到了50%!', 'link': 'https://baijiahao.baidu.com/s?id=1865697886942508862&wfr=spider&for=pc', 'source': '普外科小贾医生'}, {'title': 'CAR-T', 'link': 'https://baike.baidu.com/item/CAR-T/17645034', 'source': '百度百科'}, {'title': '上消化道癌症:为何尽早行动与适宜诊疗环境至关重要', 'link': 'https://baijiahao.baidu.com/s?id=1865612008094161809&wfr=spider&for=pc', 'source': '千龙网'}, {'title': '癌症怎么治疗', 'link': 'https://m.bohe.cn/article/mip/127359.html', 'source': '陈衍智'}]","['靶向针多少钱一针', '免疫治疗21天一次共五次费用', '人一旦放疗还能活几年', '化疗4次和6次的区别', '靶向治疗一个月多少钱', '癌症药120万一针是真的吗', '2026癌症治愈新突破', '免疫治疗最好的三种癌', '抗癌药', '癌症治疗CAR-T疗法']"
prostate cancer,前列腺癌,True,"['\u200c高危人群\u200c：50 岁以上男性风险显著增加，近 60% 病例发生在 65 岁以上人群，有家族史者患病概率更高 。高脂饮食、肥胖及吸烟也是潜在风险因素 。', '\u200c常见症状\u200c：早期多无症状，部分出现尿频、尿急、排尿困难或尿流变细 。晚期可发生骨转移，引起骨痛、体重下降、贫血或下肢肿胀 。\u200c\u200c\u200c', '\u200c筛查与确诊\u200c：PSA 检测和直肠指检是常用筛查手段，但 PSA 升高不等于患癌，需结合其他检查判断 。经直肠前列腺穿刺活检是确诊的金标准 。', '\u200c治疗方案\u200c：早期局限性肿瘤首选根治性手术或放疗，有望治愈 。晚期或转移性患者主要采用内分泌治疗、化疗或靶向药物控制病情，需定期随访监测 。\u200c\u200c\u200c']","[{'title': '前列腺癌', 'link': 'https://baike.baidu.com/item/前列腺癌/1330337', 'source': '百度百科'}]","[{'title': '前列腺癌', 'link': 'https://baike.baidu.com/item/前列腺癌/1330337', 'source': '百度百科'}, {'title': '前列腺癌', 'link': 'https://m.youlai.cn/baike/mdisease/app/DSuclvyYPU.html', 'source': '有来医生'}, {'title': '前列腺癌', 'link': 'https://m.youlai.cn/pjingbian/article/0A6413gUF8n.html', 'source': '刘修恒'}, {'title': '前列腺癌是什么', 'link': 'https://m.fh21.com.cn/article/dzmip/1743351.html', 'source': '复禾健康'}, {'title': '什么是前列腺癌啊', 'link': 'https://m.bohe.cn/article/mip/tpe5sjrtrk533er.html', 'source': '博禾医生'}, {'title': '前列腺癌是什么?有哪些症状', 'link': 'https://m.bohe.cn/article/mip/snliq9bmskvqk9b.html', 'source': '博禾医生'}, {'title': 'PSA指标突然飙升至100,医生为啥反而说“别慌,不像前列腺癌”', 'link': 'http://baijiahao.baidu.com/s?id=1865898008151574412&wfr=spider&for=pc', 'source': '上观新闻'}, {'title': '前列腺癌症怎么办', 'link': 'https://www.bohe.cn/article/view/za2y2yy5kk2wc0d.html', 'source': '博禾医生'}, {'title': '前列腺癌名词解释', 'link': 'https://www.mfk.com/ask/11848291.shtml', 'source': '王永兴'}]","['前列腺晚期能活几年', '治前列腺最好的医院', '前列腺肿瘤能活多久', '飞机打多了前列腺炎能自愈吗', '前列腺钙化是什么意思', '80岁老人前列腺肿瘤咋样治疗好', '前列腺影响性功能吗', '70岁不建议做前列腺活检吗', '70岁老人前列腺晚期存活率', '60到70岁前列腺正常尺寸']"
blood cancer,血癌,True,"['\u200c狭义概念\u200c：在日常生活中，\u200c血癌就是白血病的俗称\u200c，两者指代同一种疾病，医学专业名称为白血病 。', '\u200c广义概念\u200c：在医学分类中，血液系统恶性肿瘤统称为血液癌，除了白血病，还包括\u200c淋巴瘤\u200c和\u200c多发性骨髓瘤\u200c等 。', '\u200c易混淆点\u200c：部分患者会将淋巴瘤或骨髓瘤误称为血癌，虽然它们都属于血液系统肿瘤，但发病机制和治疗方案与白血病存在差异 。\u200c\u200c\u200c', '\u200c典型症状\u200c：', '\u200c确诊检查\u200c：', '\u200c主要治疗手段\u200c：', '\u200c生存期数据\u200c：', '\u200c影响因素\u200c：年龄（60 岁以下预后更好）、基因突变类型、是否合并感染及治疗依从性均显著影响生存时间 。\u200c\u200c\u200c']","[{'title': '血液癌', 'link': 'https://baike.baidu.com/item/血液癌/4887941', 'source': '百度百科'}]","[{'title': '血液癌', 'link': 'https://baike.baidu.com/item/血液癌/4887941', 'source': '百度百科'}, {'title': '白血病和血癌的区别是什么', 'link': 'https://www.mfk.com/ask/11814457.shtml', 'source': '范芸'}, {'title': '血癌和白血病一样吗', 'link': 'https://www.bohe.cn/article/view/217098.html', 'source': '盖灿'}, {'title': '血癌是白血病吗', 'link': 'https://www.bohe.cn/article/view/217097.html', 'source': '盖灿'}, {'title': '白血病和血癌的区别', 'link': 'https://www.mfk.com/ask/14292938.shtml', 'source': '郝文革'}, {'title': '骨髓瘤是骨癌还是血癌', 'link': 'https://www.mfk.com/ask/19505866.shtml', 'source': '民福康'}, {'title': '什么是血癌?有什么症状-专家文章-博禾医生', 'link': 'https://www.bohe.cn/article/view/1z442d8frk7in95.html', 'source': '博禾医生'}, {'title': '血癌和白血病一样吗', 'link': 'https://m.youlai.cn/pjingbian/article/6B46CCgUzSu.html', 'source': '刘尚勤'}, {'title': '什么叫血癌', 'link': 'https://m.bohe.cn/article/mip/bha7s1p2rkbp2gl.html', 'source': '博禾医生'}, {'title': '查出是血癌还能活多久', 'link': 'https://www.bohe.cn/article/view/tc1oiicdkk4yl0v.html', 'source': '博禾医生'}, {'title': '血癌能活多久?', 'link': 'https://www.mfk.com/article/12788107.shtml', 'source': '民福康'}, {'title': '血癌能活多长时间呢', 'link': 'https://m.bohe.cn/ask/mip/xpb3h3u4chkmktj.html', 'source': '陈健鹏'}]","['靶向针多少钱一针', '血液病能活多久', '肿瘤破裂意味着什么', '复发和转移哪一个严重', '只要转移的都是晚期吗', '血癌最多能活多少年', '肿瘤病人最后断气阶段', '怎么知道自己长肿瘤了', '白血病是必死的吗', '血癌是怎么引起的']"
pancreatic cancer,胰腺癌,False,,,,"['靶向针多少钱一针', '胰腺瘤一般能活多少年', '怎样让胰腺恢复正常', '胰腺癌为什么叫穷人癌', '一次化疗要住院几天', '胰腺做什么检查最准确', '怎样分辨胃疼还是胰腺疼', '吃什么养胰腺最快', '胰腺癌的早期症状', '胰腺癌10个征兆']"
